Expression,Explanation,Weights
partie,part,0.5
histoire,history,1.0
chercher,search,1.0
seulement,only,1.0
police,police,0.5
pensais,thought,1.0
aide,help,1.0
demande,request,1.0
genre,kind,1.0
mois,month,0.5
frère,brother,0.5
laisser,let,1.0
car,because,0.5
mettre,to put,0.3333333333333333
aucun,no,1.0
laisse,leash,0.5
eux,them,1.0
ville,city,0.5
chaque,each,1.0
parlé,speak,1.0
arrivé,come,1.0
devrait,should,1.0
bébé,baby,0.5
longtemps,long time,0.5
heures,hours,1.0
vont,will,1.0
pendant,while,1.0
revoir,meet again,1.0
aucune,any,1.0
place,square,1.0
parle,speak,1.0
compris,understood,1.0
savais,knew,1.0
étaient,were,1.0
attention,Warning,0.5
voici,here is,0.5
pourrais,could,0.5
affaire,case,1.0
donner,give,1.0
type,type,1.0
leurs,their,1.0
donné,given,1.0
train,train,0.5
corps,body,1.0
endroit,place,1.0
yeux,eyes,1.0
façon,way,1.0
écoute,listen,1.0
dont,whose,0.5
trouve,find,0.5
premier,first,0.5
perdu,lost,0.5
main,hand,0.3333333333333333
première,first,0.5
côté,side,1.0
pouvoir,power,1.0
vieux,old,1.0
sois,be,0.5
tiens,here,1.0
matin,morning,0.5
tellement,so much,1.0
enfant,child,1.0
point,point,1.0
venu,came,1.0
suite,after,1.0
pardon,sorry,1.0
venez,come,1.0
devant,in front of,1.0
vers,towards,0.3333333333333333
minutes,minutes,1.0
demandé,request,1.0
chambre,bedroom,1.0
mis,placed,1.0
belle,beautiful,1.0
droit,law,1.0
aimerais,would like to,1.0
aujourd'hui,today,0.5
mari,husband,0.5
cause,cause,1.0
enfin,finally,1.0
espère,hope,0.5
eau,water,1.0
attendez,Wait,1.0
parti,left,0.3333333333333333
nouvelle,new,1.0
boulot,job,1.0
arrêter,Stop,1.0
dirait,would say,1.0
terre,Earth,1.0
compte,account,1.0
donne,given,0.5
loin,far,0.5
fin,end,0.5
croire,believe,0.5
chérie,sweetheart,1.0
gros,large,0.5
plutôt,rather,1.0
aura,will have,1.0
filles,girls,1.0
jouer,to play,1.0
bureau,office,0.5
